,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP + EGR + EOP - 11,0.6389,0.6562,0.2729,0.3588,0.3404,0.3634,0.3737,0.6389,0.6388,0.3648,0.2477,0.3574,0.4833,546.0,466.0,254.0,318.0,243.0,155.0,80.0,145.0,303.0,311.0,174.0,173.0,0.6835,0.6359,0.5185,0.4964,0.8446
OP + EGR + EOP - 17,0.6515,0.6718,0.2319,0.3715,0.4064,0.3171,0.3165,0.6541,0.6475,0.379,0.2841,0.3102,0.444,565.0,467.0,290.0,262.0,257.0,149.0,102.0,119.0,308.0,318.0,188.0,143.0,0.6993,0.6505,0.5726,0.5183,0.861
OP + EGR + CEOP - 3,0.6534,0.6523,0.2648,0.2794,0.3917,0.411,0.3359,0.6604,0.6427,0.3598,0.2678,0.3249,0.471,515.0,520.0,239.0,310.0,257.0,146.0,94.0,130.0,258.0,374.0,145.0,180.0,0.6965,0.6136,0.5598,0.4211,0.8784
OP + EGR + CEOP - 11,0.6597,0.6616,0.2823,0.2619,0.3191,0.3887,0.3918,0.6753,0.6356,0.3038,0.2412,0.3407,0.4872,527.0,518.0,202.0,337.0,236.0,160.0,75.0,152.0,291.0,358.0,127.0,185.0,0.6753,0.651,0.4992,0.435,0.8768
OP + EGR + CEOP - 17,0.6641,0.6903,0.2111,0.334,0.5139,0.3171,0.242,0.674,0.6491,0.3543,0.3116,0.2979,0.4272,593.0,459.0,298.0,234.0,285.0,122.0,129.0,91.0,308.0,337.0,169.0,143.0,0.7215,0.6638,0.6603,0.4984,0.9521
OP + EGR + ROC - 3,0.654,0.6719,0.2329,0.3661,0.3917,0.3059,0.3359,0.6614,0.6427,0.3846,0.2678,0.2894,0.471,561.0,475.0,284.0,264.0,257.0,146.0,94.0,130.0,304.0,329.0,190.0,134.0,0.6965,0.6524,0.5598,0.5162,0.9596
OP + EGR + ROC - 11,0.6717,0.6984,0.2289,0.3546,0.366,0.2773,0.3351,0.6837,0.6533,0.3333,0.25,0.2966,0.4659,602.0,462.0,258.0,262.0,258.0,149.0,86.0,130.0,344.0,313.0,172.0,132.0,0.7049,0.6935,0.5522,0.5369,0.9727
OP + EGR + ROC - 17,0.666,0.6944,0.2054,0.3439,0.5139,0.2993,0.242,0.6771,0.6491,0.3551,0.3116,0.2891,0.4272,601.0,454.0,303.0,226.0,285.0,122.0,129.0,91.0,316.0,332.0,174.0,135.0,0.7215,0.6716,0.6603,0.512,0.975
OP + GSR - 3,0.6635,0.6921,0.2057,0.3468,0.5292,0.3265,0.2145,0.6625,0.6651,0.3789,0.2947,0.2967,0.4235,599.0,452.0,307.0,226.0,304.0,113.0,127.0,83.0,295.0,339.0,180.0,143.0,0.7433,0.6462,0.6874,0.4963,0.972
OP + GSR - 11,0.6679,0.6945,0.2322,0.3423,0.4,0.3004,0.317,0.6785,0.6517,0.3327,0.2618,0.3095,0.4659,598.0,460.0,260.0,266.0,265.0,141.0,94.0,123.0,333.0,319.0,166.0,143.0,0.7095,0.6831,0.5762,0.5193,0.9747
OP + GSR - 17,0.666,0.6944,0.2054,0.3439,0.5139,0.2993,0.242,0.6771,0.6491,0.3551,0.3116,0.2891,0.4272,601.0,454.0,303.0,226.0,285.0,122.0,129.0,91.0,316.0,332.0,174.0,135.0,0.7215,0.6716,0.6603,0.512,0.975
OP + GSR + EOP - 3,0.6294,0.6812,0.19,0.5067,0.525,0.2397,0.2403,0.6155,0.6507,0.4413,0.3,0.2909,0.4493,627.0,370.0,389.0,198.0,294.0,114.0,126.0,93.0,333.0,256.0,263.0,105.0,0.7286,0.6441,0.6699,0.6228,0.8554
OP + GSR + EOP - 11,0.6509,0.686,0.2306,0.4103,0.4,0.2878,0.317,0.6504,0.6517,0.3699,0.2618,0.3239,0.4659,604.0,427.0,293.0,260.0,265.0,141.0,94.0,123.0,339.0,286.0,199.0,137.0,0.7095,0.6686,0.5762,0.5598,0.875
OP + GSR + EOP - 17,0.6509,0.6902,0.197,0.4328,0.49,0.2483,0.2633,0.6541,0.6459,0.3925,0.3075,0.2807,0.4361,616.0,415.0,342.0,211.0,277.0,128.0,123.0,99.0,339.0,287.0,219.0,112.0,0.7139,0.672,0.638,0.5831,0.8922
OP + GSR + CEOP - 3,0.6641,0.6963,0.1982,0.3468,0.5708,0.3265,0.186,0.6625,0.6667,0.3789,0.3031,0.2967,0.4114,610.0,442.0,317.0,215.0,315.0,103.0,137.0,72.0,295.0,339.0,180.0,143.0,0.7509,0.6462,0.7209,0.4963,0.9514
OP + GSR + CEOP - 11,0.6673,0.7001,0.2208,0.3423,0.4766,0.3004,0.2732,0.6785,0.6501,0.3327,0.2843,0.3095,0.4629,615.0,442.0,278.0,249.0,282.0,123.0,112.0,106.0,333.0,319.0,166.0,143.0,0.7212,0.6831,0.6324,0.5193,0.947
OP + GSR + CEOP - 17,0.6591,0.6959,0.1948,0.3439,0.6255,0.2993,0.1968,0.6771,0.6316,0.3551,0.342,0.2891,0.4405,618.0,426.0,331.0,209.0,302.0,94.0,157.0,74.0,316.0,332.0,174.0,135.0,0.7234,0.6716,0.7321,0.512,0.9375
OP + GSR + ROC - 3,0.654,0.6719,0.2329,0.3661,0.3917,0.3059,0.3359,0.6614,0.6427,0.3846,0.2678,0.2894,0.471,561.0,475.0,284.0,264.0,257.0,146.0,94.0,130.0,304.0,329.0,190.0,134.0,0.6965,0.6524,0.5598,0.5162,0.9596
OP + GSR + ROC - 11,0.6679,0.697,0.2275,0.3732,0.366,0.271,0.3351,0.6774,0.6533,0.3428,0.25,0.2979,0.4659,605.0,453.0,267.0,259.0,258.0,149.0,86.0,130.0,347.0,304.0,181.0,129.0,0.7049,0.6912,0.5522,0.5494,0.9727
OP + GSR + ROC - 17,0.6616,0.6732,0.2393,0.33,0.3745,0.3171,0.3511,0.6761,0.6396,0.3516,0.2781,0.2967,0.4567,552.0,496.0,261.0,275.0,244.0,157.0,94.0,132.0,308.0,339.0,167.0,143.0,0.6835,0.6652,0.5391,0.4963,0.9699
DIR - 3,0.6596,0.7139,0.1894,0.4429,0.5516,0.2473,0.1995,0.661,0.657,0.3418,0.3218,0.3347,0.3925,786.0,435.0,395.0,235.0,293.0,113.0,139.0,73.0,493.0,322.0,256.0,162.0,0.7343,0.7023,0.699,0.6075,0.9138
DIR - 11,0.6505,0.7176,0.1672,0.5276,0.5781,0.2079,0.1649,0.6372,0.6769,0.3851,0.3004,0.3188,0.3865,822.0,382.0,452.0,195.0,319.0,100.0,137.0,63.0,503.0,282.0,315.0,132.0,0.7613,0.6924,0.7367,0.664,0.9284
DIR - 17,0.6483,0.7018,0.1958,0.4523,0.5665,0.261,0.2116,0.6437,0.6571,0.3777,0.2966,0.3245,0.4541,766.0,434.0,407.0,244.0,313.0,101.0,132.0,84.0,453.0,333.0,275.0,160.0,0.7435,0.6756,0.7063,0.5962,0.9209
DIR + EOP - 3,0.6407,0.7082,0.179,0.545,0.5397,0.1985,0.2295,0.6391,0.644,0.375,0.3254,0.3308,0.42,807.0,379.0,451.0,214.0,282.0,116.0,136.0,84.0,525.0,263.0,315.0,130.0,0.7194,0.7023,0.6764,0.6813,0.8668
DIR + EOP - 11,0.6364,0.7154,0.1544,0.6131,0.5738,0.1622,0.178,0.6193,0.6704,0.4076,0.3022,0.3084,0.4024,846.0,332.0,502.0,171.0,314.0,101.0,136.0,68.0,532.0,231.0,366.0,103.0,0.7548,0.6941,0.727,0.7289,0.8853
DIR + EOP - 17,0.6305,0.6949,0.1897,0.5296,0.5622,0.2251,0.2343,0.6233,0.6444,0.404,0.3011,0.3255,0.4769,779.0,388.0,453.0,231.0,304.0,102.0,131.0,93.0,475.0,286.0,322.0,138.0,0.7308,0.6738,0.6905,0.6527,0.8712
DIR + CEOP - 3,0.6618,0.7208,0.1765,0.4516,0.6032,0.2275,0.1749,0.6675,0.6505,0.3403,0.3348,0.3197,0.3902,808.0,417.0,413.0,213.0,302.0,100.0,152.0,64.0,506.0,317.0,261.0,149.0,0.7366,0.7117,0.7346,0.6221,0.9037
DIR + CEOP - 11,0.6505,0.7176,0.1672,0.5276,0.5781,0.2079,0.1649,0.6372,0.6769,0.3851,0.3004,0.3188,0.3865,822.0,382.0,452.0,195.0,319.0,100.0,137.0,63.0,503.0,282.0,315.0,132.0,0.7613,0.6924,0.7367,0.664,0.9284
DIR + CEOP - 17,0.6483,0.7045,0.1899,0.4638,0.5794,0.2561,0.194,0.6405,0.6635,0.3821,0.2967,0.3251,0.44,776.0,424.0,417.0,234.0,320.0,98.0,135.0,77.0,456.0,326.0,282.0,157.0,0.7512,0.6751,0.7222,0.6044,0.919
DIR + ROC - 3,0.6467,0.6562,0.2869,0.3201,0.2857,0.3725,0.418,0.6521,0.6359,0.3104,0.2526,0.383,0.4595,624.0,573.0,257.0,397.0,213.0,180.0,72.0,153.0,411.0,393.0,185.0,244.0,0.6544,0.6571,0.4612,0.4834,0.8904
DIR + ROC - 11,0.6456,0.6727,0.2546,0.3886,0.3418,0.3213,0.3639,0.6461,0.6446,0.3499,0.25,0.3585,0.4712,674.0,521.0,313.0,343.0,243.0,156.0,81.0,139.0,431.0,365.0,232.0,204.0,0.6884,0.6641,0.5234,0.5381,0.905
DIR + ROC - 17,0.6272,0.641,0.2885,0.3586,0.3348,0.3736,0.4156,0.6339,0.6143,0.3621,0.2516,0.37,0.5156,616.0,545.0,296.0,394.0,232.0,155.0,78.0,165.0,384.0,390.0,218.0,229.0,0.6563,0.6321,0.4921,0.493,0.9001
DIR + GFC - 3,0.5786,0.7188,0.0725,0.9031,0.9286,0.0244,0.0219,0.5637,0.6084,0.4496,0.3953,0.2222,0.3077,997.0,74.0,756.0,24.0,358.0,18.0,234.0,8.0,639.0,56.0,522.0,16.0,0.7474,0.7037,0.9579,0.9416,0.961
DIR + GFC - 11,0.5705,0.7133,0.0746,0.9129,0.9367,0.0252,0.0314,0.5446,0.622,0.4682,0.375,0.2353,0.4444,989.0,67.0,767.0,28.0,370.0,15.0,222.0,12.0,619.0,52.0,545.0,16.0,0.7598,0.6882,0.9564,0.9448,0.9624
DIR + GFC - 17,0.4657,0.0554,0.7585,0.0049,0.0215,0.9772,0.9622,0.507,0.3857,0.1765,0.25,0.4975,0.6262,29.0,833.0,8.0,981.0,15.0,228.0,5.0,382.0,14.0,605.0,3.0,599.0,0.0719,0.0444,0.0317,0.0139,0.9849
DIR + GFC + EOP - 3,0.5791,0.7197,0.0709,0.9135,0.9127,0.0168,0.0273,0.5629,0.6117,0.4505,0.3925,0.1803,0.3125,1000.0,72.0,758.0,21.0,356.0,22.0,230.0,10.0,644.0,50.0,528.0,11.0,0.7479,0.705,0.9482,0.9505,0.9479
DIR + GFC + EOP - 11,0.5727,0.7133,0.0774,0.9112,0.903,0.0252,0.0445,0.5455,0.6268,0.4678,0.3696,0.2319,0.425,984.0,76.0,758.0,33.0,365.0,23.0,214.0,17.0,619.0,53.0,544.0,16.0,0.7596,0.6885,0.9354,0.944,0.954
DIR + GFC + EOP - 17,0.497,0.5194,0.3783,0.5132,0.4807,0.5122,0.4861,0.4873,0.5159,0.5106,0.3544,0.5148,0.6146,503.0,417.0,424.0,507.0,204.0,121.0,112.0,193.0,299.0,296.0,312.0,314.0,0.5722,0.4886,0.5016,0.5004,0.5996
DIR + GFC + CEOP - 3,0.3987,0.0592,0.8012,0.173,0.1071,0.9618,0.9727,0.4079,0.3803,0.8,0.7297,0.5686,0.6127,35.0,703.0,127.0,986.0,10.0,225.0,27.0,356.0,25.0,478.0,100.0,630.0,0.0496,0.0641,0.0599,0.1014,0.9388
DIR + GFC + CEOP - 11,0.4057,0.063,0.7926,0.1541,0.1181,0.9638,0.9634,0.4286,0.3603,0.8,0.6667,0.5479,0.6378,37.0,714.0,120.0,980.0,14.0,209.0,28.0,368.0,23.0,505.0,92.0,612.0,0.066,0.0613,0.0679,0.0933,0.9511
DIR + GFC + CEOP - 17,0.3571,0.1572,0.7227,0.3668,0.2918,0.8728,0.9169,0.3792,0.3143,0.7409,0.6733,0.5815,0.6881,111.0,550.0,291.0,899.0,33.0,165.0,68.0,364.0,78.0,385.0,223.0,535.0,0.1325,0.1707,0.1603,0.2465,0.911
DIR + GFC + ROC - 3,0.4317,0.0223,0.8053,0.0554,0.0437,0.9893,0.9863,0.4485,0.3981,0.8205,0.6875,0.5427,0.5997,12.0,787.0,43.0,1009.0,5.0,241.0,11.0,361.0,7.0,546.0,32.0,648.0,0.0262,0.0202,0.0259,0.0316,0.9802
DIR + GFC + ROC - 11,0.4344,0.035,0.7942,0.057,0.0633,0.9843,0.9764,0.4651,0.3732,0.7727,0.625,0.5261,0.6269,19.0,785.0,49.0,998.0,9.0,222.0,15.0,373.0,10.0,563.0,34.0,625.0,0.0443,0.0295,0.0388,0.0357,0.9769
DIR + GFC + ROC - 17,0.5457,0.706,0.0585,1.0,1.0,0.0,0.0,0.502,0.6302,0.498,0.3698,0.0,0.0,1010.0,0.0,841.0,0.0,397.0,0.0,233.0,0.0,613.0,0.0,608.0,0.0,0.7731,0.6685,1.0,1.0,1.0
DIR + PR - 3,0.3193,0.2725,0.6106,0.654,0.3849,0.7282,0.8415,0.3066,0.3447,0.6799,0.6258,0.7046,0.6652,236.0,355.0,475.0,785.0,58.0,155.0,97.0,308.0,178.0,200.0,378.0,477.0,0.2226,0.294,0.2508,0.4509,0.8441
DIR + PR - 11,0.3296,0.2344,0.6516,0.5394,0.3882,0.7858,0.8586,0.3336,0.3215,0.7031,0.6301,0.6447,0.6934,190.0,420.0,414.0,827.0,54.0,145.0,92.0,328.0,136.0,275.0,322.0,499.0,0.2045,0.2489,0.2359,0.3718,0.8565
DIR + PR - 17,0.3414,0.2974,0.5806,0.6135,0.4034,0.6998,0.8136,0.3432,0.3381,0.6697,0.5595,0.6461,0.6991,258.0,374.0,467.0,752.0,74.0,139.0,94.0,323.0,184.0,235.0,373.0,429.0,0.2619,0.3145,0.2667,0.4562,0.864
DIR + PR + EOP - 3,0.6386,0.7015,0.1914,0.5052,0.5635,0.2168,0.2541,0.648,0.6197,0.3627,0.3422,0.3318,0.4581,786.0,396.0,434.0,235.0,273.0,110.0,142.0,93.0,513.0,286.0,292.0,142.0,0.6991,0.7027,0.6715,0.6529,0.7712
DIR + PR + EOP - 11,0.6391,0.7148,0.1594,0.5896,0.5738,0.1732,0.1832,0.625,0.6672,0.4014,0.3036,0.3099,0.4094,837.0,346.0,488.0,180.0,312.0,101.0,136.0,70.0,525.0,245.0,352.0,110.0,0.7518,0.6944,0.7237,0.7119,0.8161
DIR + PR + EOP - 17,0.6251,0.6848,0.2049,0.5016,0.5708,0.2577,0.2469,0.6208,0.6333,0.4013,0.3079,0.3427,0.4949,754.0,403.0,438.0,256.0,299.0,100.0,133.0,98.0,455.0,303.0,305.0,158.0,0.7214,0.6628,0.6857,0.6224,0.8062
DIR + PR + CEOP - 3,0.6764,0.7274,0.1801,0.346,0.7024,0.2718,0.1202,0.6934,0.6424,0.2954,0.3547,0.3201,0.3697,799.0,453.0,377.0,222.0,322.0,75.0,177.0,44.0,477.0,378.0,200.0,178.0,0.7445,0.7162,0.8074,0.5491,0.839
DIR + PR + CEOP - 11,0.6704,0.7322,0.1587,0.4606,0.6414,0.2142,0.123,0.6664,0.6785,0.3553,0.3121,0.2969,0.3561,834.0,407.0,427.0,183.0,335.0,85.0,152.0,47.0,499.0,322.0,275.0,136.0,0.771,0.7083,0.7868,0.6282,0.8516
DIR + PR + CEOP - 17,0.658,0.7068,0.1965,0.3865,0.6481,0.3002,0.1587,0.6568,0.6603,0.3539,0.3113,0.3303,0.4345,763.0,455.0,386.0,247.0,334.0,82.0,151.0,63.0,429.0,373.0,235.0,184.0,0.7574,0.6719,0.7698,0.5438,0.8574
DIR + PR + ROC - 3,0.6677,0.6899,0.2475,0.3201,0.369,0.3115,0.3634,0.6845,0.6343,0.2909,0.2853,0.3417,0.4555,684.0,552.0,278.0,337.0,233.0,159.0,93.0,133.0,451.0,393.0,185.0,204.0,0.6734,0.6987,0.5275,0.5158,0.8331
DIR + PR + ROC - 11,0.6656,0.7005,0.2222,0.397,0.3755,0.2709,0.3168,0.668,0.6607,0.3386,0.2543,0.3233,0.4498,724.0,508.0,326.0,293.0,261.0,148.0,89.0,121.0,463.0,360.0,237.0,172.0,0.7131,0.6936,0.5654,0.5682,0.8458
DIR + PR + ROC - 17,0.6586,0.7049,0.2011,0.4523,0.4378,0.2202,0.3023,0.6642,0.6476,0.3652,0.2691,0.2885,0.4781,755.0,464.0,377.0,255.0,277.0,131.0,102.0,120.0,478.0,333.0,275.0,135.0,0.7139,0.6999,0.6016,0.6167,0.8585
DIR + EGR - 3,0.6802,0.7186,0.204,0.3685,0.4524,0.2656,0.2486,0.6861,0.6683,0.3069,0.2931,0.3228,0.3974,756.0,503.0,327.0,265.0,275.0,138.0,114.0,91.0,481.0,365.0,213.0,174.0,0.7285,0.7131,0.6294,0.5629,0.8419
DIR + EGR - 11,0.6618,0.7254,0.1635,0.5193,0.5316,0.189,0.1832,0.651,0.6834,0.3758,0.2877,0.2948,0.3867,827.0,398.0,436.0,190.0,312.0,111.0,126.0,70.0,515.0,287.0,310.0,120.0,0.761,0.7055,0.7076,0.6696,0.8699
DIR + EGR - 17,0.6677,0.7141,0.1925,0.4095,0.5322,0.2659,0.199,0.6626,0.6778,0.3562,0.2805,0.3123,0.4202,768.0,468.0,373.0,242.0,318.0,109.0,124.0,79.0,450.0,359.0,249.0,163.0,0.758,0.686,0.7016,0.5725,0.8568
DIR + EGR + EOP - 3,0.6656,0.7175,0.1887,0.4671,0.4524,0.2183,0.2514,0.665,0.6667,0.3453,0.2938,0.3171,0.4,786.0,446.0,384.0,235.0,274.0,138.0,114.0,92.0,512.0,308.0,270.0,143.0,0.7268,0.7126,0.6278,0.6342,0.8165
DIR + EGR + EOP - 11,0.6364,0.7135,0.159,0.6164,0.5316,0.1717,0.1832,0.6128,0.6834,0.4116,0.2877,0.3225,0.3867,838.0,340.0,494.0,179.0,312.0,111.0,126.0,70.0,526.0,229.0,368.0,109.0,0.761,0.688,0.7076,0.7256,0.832
DIR + EGR + EOP - 17,0.6402,0.7027,0.1842,0.5247,0.5322,0.2349,0.199,0.6208,0.6778,0.4048,0.2805,0.3326,0.4202,787.0,398.0,443.0,223.0,318.0,109.0,124.0,79.0,469.0,289.0,319.0,144.0,0.758,0.6695,0.7016,0.6454,0.8218
DIR + EGR + CEOP - 3,0.6721,0.7144,0.2034,0.3997,0.4524,0.2626,0.2459,0.6732,0.6699,0.3235,0.2923,0.3314,0.3947,759.0,485.0,345.0,262.0,276.0,138.0,114.0,90.0,483.0,347.0,231.0,172.0,0.7302,0.7056,0.6311,0.5791,0.8424
DIR + EGR + CEOP - 11,0.6478,0.7194,0.1594,0.5745,0.5401,0.1748,0.1832,0.6315,0.6801,0.3956,0.2909,0.3041,0.3911,836.0,363.0,471.0,181.0,312.0,109.0,128.0,70.0,524.0,254.0,343.0,111.0,0.7591,0.6977,0.7108,0.7037,0.865
DIR + EGR + CEOP - 17,0.6618,0.7107,0.1926,0.4309,0.5279,0.2594,0.2065,0.6552,0.6746,0.3659,0.2808,0.3149,0.4271,769.0,456.0,385.0,241.0,315.0,110.0,123.0,82.0,454.0,346.0,262.0,159.0,0.7545,0.6832,0.6952,0.5864,0.8493
DIR + EGR + ROC - 3,0.6829,0.7256,0.1923,0.41,0.4167,0.2244,0.2678,0.6886,0.6715,0.3181,0.2815,0.3012,0.4,776.0,488.0,342.0,245.0,268.0,147.0,105.0,98.0,508.0,341.0,237.0,147.0,0.7253,0.7257,0.6036,0.6042,0.8421
DIR + EGR + ROC - 11,0.6618,0.7281,0.1572,0.5327,0.5443,0.178,0.1728,0.6502,0.685,0.3786,0.2899,0.2883,0.3793,838.0,387.0,447.0,179.0,316.0,108.0,129.0,66.0,522.0,279.0,318.0,113.0,0.7642,0.7078,0.7189,0.6818,0.8773
